timestamp_s,ax,ay,az,gx,gy,gz,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_mps,speed_kmh,heading_deg
0.0,-0.2316,1.3893,10.2436,-0.0024,0.00314,-0.00184,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.05,0.0
0.01,-0.4408,1.7103,9.8479,-0.00071,0.00548,-0.00404,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.11,0.0
0.02,0.5167,1.4923,9.2777,0.00218,-0.00221,0.00545,0.0,0.001,0.0,0.0,0.045,0.001,0.045,0.16,0.0
0.03,0.3417,1.5879,9.961,0.0027,0.00621,-0.0096,0.0,0.002,0.0,0.0,0.06,0.001,0.06,0.22,0.0
0.04,-0.2024,1.3459,9.2332,-0.00203,-0.00949,-0.00152,0.0,0.002,0.0,0.0,0.075,0.001,0.075,0.27,0.0
0.05,-0.1674,1.5063,10.0811,0.00191,-0.01081,-0.00337,0.0,0.003,0.0,0.0,0.09,0.001,0.09,0.32,0.0
0.06,-0.2197,1.7758,9.9318,0.00826,0.00345,0.00205,0.0,0.004,0.0,0.0,0.105,0.001,0.105,0.38,0.0
0.07,-0.1845,1.6021,9.6917,-0.00772,0.00372,-0.00194,0.0,0.005,0.0,0.0,0.12,0.002,0.12,0.43,0.0
0.08,-0.2838,1.856,9.6168,0.0009,-0.00081,0.00677,0.0,0.007,0.0,0.0,0.135,0.002,0.135,0.49,0.0
0.09,-0.1307,1.8444,9.3738,0.00268,-0.00887,0.0019,0.0,0.008,0.0,0.0,0.15,0.002,0.15,0.54,0.0
0.1,0.1675,1.4165,9.3614,-0.0024,0.00497,0.00457,0.0,0.01,0.0,0.0,0.165,0.002,0.165,0.59,0.0
0.11,-0.0218,1.4075,10.594,-0.00602,9e-05,-0.00431,0.0,0.012,0.0,0.0,0.18,0.003,0.18,0.65,0.0
0.12,-0.2542,1.4264,9.4186,-0.00288,-0.00444,0.00259,0.0,0.014,0.0,0.0,0.195,0.003,0.195,0.7,0.0
0.13,0.4438,1.8077,9.6023,0.01023,-0.0021,-0.00282,0.0,0.016,0.0,0.0,0.21,0.003,0.21,0.76,0.0
0.14,0.165,1.4274,9.8921,0.00113,0.00746,-0.00078,0.0,0.018,0.0,0.0,0.225,0.003,0.225,0.81,0.0
0.15,-0.106,1.4997,9.8455,-0.00259,-0.00416,0.00345,0.0,0.02,0.0,0.0,0.24,0.004,0.24,0.86,0.0
0.16,-0.3445,1.6559,10.1377,-0.00371,-0.00255,0.00108,0.0,0.023,0.0,0.0,0.255,0.004,0.255,0.92,0.0
0.17,-0.2945,1.614,9.5487,0.00284,0.00511,0.00077,0.0,0.026,0.0,0.0,0.27,0.004,0.27,0.97,0.0
0.18,0.2847,1.5879,10.1006,-0.00523,0.0033,-0.00499,0.0,0.029,0.0,0.0,0.285,0.004,0.285,1.03,0.0
0.19,0.3991,1.6227,9.6969,0.00144,0.00194,-0.00249,0.0,0.032,0.0,0.0,0.3,0.005,0.3,1.08,0.0
0.2,-0.2706,1.1877,9.8446,0.0093,-0.00147,-0.00311,0.0,0.035,0.001,0.0,0.315,0.005,0.315,1.13,0.0
0.21,0.5127,1.5498,9.8834,0.00249,0.00079,9e-05,0.0,0.038,0.001,0.0,0.33,0.005,0.33,1.19,0.0
0.22,-0.066,1.3942,9.8768,-0.00213,-0.00156,0.0047,0.0,0.041,0.001,0.0,0.345,0.005,0.345,1.24,0.0
