timestamp_s,ax,ay,az,gx,gy,gz,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_mps,speed_kmh,heading_deg
0.0,0.2229,1.7441,10.0722,-0.00641,-0.00113,0.00417,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.05,0.0
0.01,-0.0969,1.913,10.1884,0.00187,0.00788,-0.00254,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.11,0.0
0.02,-0.156,1.4961,9.9005,0.00453,-0.00784,0.00148,0.0,0.001,0.0,0.0,0.045,0.001,0.045,0.16,0.0
0.03,-0.1746,1.2574,9.944,0.00193,0.00198,-0.00116,0.0,0.002,0.0,0.0,0.06,0.001,0.06,0.22,0.0
0.04,0.1595,1.4781,9.7552,-0.00098,0.00335,-0.00876,0.0,0.002,0.0,0.0,0.075,0.001,0.075,0.27,0.0
0.05,-0.3198,1.4734,9.8287,-0.00476,-0.00771,0.00465,0.0,0.003,0.0,0.0,0.09,0.001,0.09,0.32,0.0
0.06,-0.2879,1.5394,10.0245,0.00971,0.0098,0.00405,0.0,0.004,0.0,0.0,0.105,0.001,0.105,0.38,0.0
0.07,-0.4248,1.2583,9.3054,0.00695,0.00099,-0.00365,0.0,0.005,0.0,0.0,0.12,0.002,0.12,0.43,0.0
0.08,-0.0013,1.2745,9.7258,-0.00246,0.00519,0.00369,0.0,0.007,0.0,0.0,0.135,0.002,0.135,0.49,0.0
0.09,-0.1039,1.6737,9.2429,0.00719,0.00569,0.00012,0.0,0.008,0.0,0.0,0.15,0.002,0.15,0.54,0.0
0.1,0.025,1.7364,9.8553,0.00282,0.00101,-0.00185,0.0,0.01,0.0,0.0,0.165,0.002,0.165,0.59,0.0
0.11,0.0125,1.7724,10.5297,0.00177,9e-05,0.00609,0.0,0.012,0.0,0.0,0.18,0.003,0.18,0.65,0.0
0.12,0.0707,1.2264,9.4234,0.00078,-0.01299,-0.00218,0.0,0.014,0.0,0.0,0.195,0.003,0.195,0.7,0.0
0.13,-0.0379,1.489,9.7118,0.00388,-0.00089,-0.00114,0.0,0.016,0.0,0.0,0.21,0.003,0.21,0.76,0.0
0.14,0.0778,1.5746,10.0058,0.00198,-0.00731,-0.00072,0.0,0.018,0.0,0.0,0.225,0.003,0.225,0.81,0.0
0.15,-0.1893,1.1798,9.7415,0.00443,-0.00296,0.00016,0.0,0.02,0.0,0.0,0.24,0.004,0.24,0.86,0.0
0.16,0.12,1.4626,9.5789,0.00748,0.00725,0.00064,0.0,0.023,0.0,0.0,0.255,0.004,0.255,0.92,0.0
0.17,-0.1947,1.753,9.6829,0.01241,0.00801,0.00046,0.0,0.026,0.0,0.0,0.27,0.004,0.27,0.97,0.0
0.18,-0.1919,1.7106,9.7889,-0.00382,0.00043,0.00044,0.0,0.029,0.0,0.0,0.285,0.004,0.285,1.03,0.0
0.19,-0.2551,1.6419,9.5852,-0.00615,-0.00581,-0.00373,0.0,0.032,0.0,0.0,0.3,0.005,0.3,1.08,0.0
0.2,0.0597,1.5855,9.9075,0.00282,-0.00374,-0.0014,0.0,0.035,0.001,0.0,0.315,0.005,0.315,1.13,0.0
0.21,0.0697,1.4244,10.3004,-0.00408,-0.00493,-0.00578,0.0,0.038,0.001,0.0,0.33,0.005,0.33,1.19,0.0
0.22,-0.1538,1.4266,9.6267,0.00286,-0.0016,0.00532,0.0,0.041,0.001,0.0,0.345,0.005,0.345,1.24,0.0
0.23,0.2851,1.425,9.6228,0.00614,-0.00157,0.00994,0.0,0.045,0.001,0.0,0.36,0.006,0.36,1.3,0.0
0.24,-0.1723,1.227,9.5915,0.00173,-0.00088,0.00252,0.0,0.049,0.001,0.0,0.375,0.006,0.375,1.35,0.0
0.25,0.0702,1.6546,9.5724,-0.00204,-0.00166,7e-05,0.0,0.053,0.001,0.0,0.39,0.006,0.39,1.4,0.0
0.26,0.0252,1.3342,9.6449,-0.00435,0.00842,-0.00594,0.0,0.057,0.001,0.0,0.405,0.006,0.405,1.46,0.0
0.27,0.2078,1.4373,9.5298,0.00055,-0.00282,-0.00668,0.0,0.061,0.001,0.0,0.42,0.007,0.42,1.51,0.0
