timestamp_s,ax,ay,az,gx,gy,gz,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_mps,speed_kmh,heading_deg
0.0,0.2528,1.4625,10.2532,0.002,0.00366,-0.0125,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.05,0.0
0.01,0.116,1.4689,10.4408,0.00332,-0.00658,0.00986,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.11,0.0
0.02,-0.2827,0.9766,10.1284,-0.00337,-0.00339,-0.00312,0.0,0.001,0.0,0.0,0.045,0.001,0.045,0.16,0.0
0.03,-0.3071,1.7802,10.0918,0.00924,0.00047,0.00411,0.0,0.002,0.0,0.0,0.06,0.001,0.06,0.22,0.0
0.04,-0.0417,1.6968,9.6841,-0.0042,0.00055,0.00083,0.0,0.002,0.0,0.0,0.075,0.001,0.075,0.27,0.0
0.05,0.1579,1.8392,9.4173,0.00267,0.00874,0.00012,0.0,0.003,0.0,0.0,0.09,0.001,0.09,0.32,0.0
0.06,0.0482,1.1869,9.5835,-0.00466,0.00456,0.00495,0.0,0.004,0.0,0.0,0.105,0.001,0.105,0.38,0.0
0.07,-0.1002,1.1719,10.2802,-0.00254,-0.00081,-0.0087,0.0,0.005,0.0,0.0,0.12,0.002,0.12,0.43,0.0
0.08,-0.0754,1.5131,9.6387,0.00113,0.00058,0.00014,0.0,0.007,0.0,0.0,0.135,0.002,0.135,0.49,0.0
0.09,-0.2137,0.9919,9.6295,-0.01094,-0.00209,0.00701,0.0,0.008,0.0,0.0,0.15,0.002,0.15,0.54,0.0
0.1,0.4516,1.278,9.9795,-0.0003,0.00999,0.00492,0.0,0.01,0.0,0.0,0.165,0.002,0.165,0.59,0.0
0.11,0.2377,1.5794,10.0664,-0.00709,0.003,0.00489,0.0,0.012,0.0,0.0,0.18,0.003,0.18,0.65,0.0
0.12,0.1214,1.3539,9.3398,-0.00802,0.00768,0.00235,0.0,0.014,0.0,0.0,0.195,0.003,0.195,0.7,0.0
0.13,-0.1999,1.2981,10.1993,-0.00736,-0.00569,-0.00503,0.0,0.016,0.0,0.0,0.21,0.003,0.21,0.76,0.0
0.14,-0.4307,1.6361,10.1228,0.00403,-0.0021,0.00369,0.0,0.018,0.0,0.0,0.225,0.003,0.225,0.81,0.0
0.15,-0.1633,1.5866,9.9721,-0.00318,-0.00611,-0.0036,0.0,0.02,0.0,0.0,0.24,0.004,0.24,0.86,0.0
